chart,age,age_units,gender,measure,measure_units,L,M,S
fenton_2013,36.71428571,weeks,m,weight,g,0.775409306,2884.997289,0.153320889
fenton_2013,36.85714286,weeks,m,weight,g,0.762103699,2915.962748,0.152063086
fenton_2013,37,weeks,m,weight,g,0.749065888,2946.660647,0.150831297
fenton_2013,37.14285714,weeks,m,weight,g,0.736291056,2977.112664,0.149625965
fenton_2013,37.28571429,weeks,m,weight,g,0.723774386,3007.340479,0.148447533
fenton_2013,37.42857143,weeks,m,weight,g,0.711511061,3037.365771,0.147296443
fenton_2013,37.57142857,weeks,m,weight,g,0.699496263,3067.21022,0.146173137
fenton_2013,37.71428571,weeks,m,weight,g,0.687725175,3096.895506,0.145078059
fenton_2013,37.85714286,weeks,m,weight,g,0.67619298,3126.443306,0.144011651
fenton_2013,38,weeks,m,weight,g,0.66489486,3155.875301,0.142974356
fenton_2013,38.14285714,weeks,m,weight,g,0.653825998,3185.213171,0.141966615
fenton_2013,38.28571429,weeks,m,weight,g,0.642981577,3214.478594,0.140988873
fenton_2013,38.42857143,weeks,m,weight,g,0.632356779,3243.693249,0.140041571
fenton_2013,38.57142857,weeks,m,weight,g,0.621946788,3272.878817,0.139125152
fenton_2013,38.71428571,weeks,m,weight,g,0.611746785,3302.056977,0.138240059
fenton_2013,38.85714286,weeks,m,weight,g,0.601751954,3331.249407,0.137386734
fenton_2013,39,weeks,m,weight,g,0.591957477,3360.477788,0.13656562
fenton_2013,39.14285714,weeks,m,weight,g,0.582358537,3389.763799,0.13577716
fenton_2013,39.28571429,weeks,m,weight,g,0.572950316,3419.129118,0.135021795
fenton_2013,39.42857143,weeks,m,weight,g,0.563727998,3448.595426,0.13429997
fenton_2013,39.57142857,weeks,m,weight,g,0.554686765,3478.184401,0.133612125
fenton_2013,39.71428571,weeks,m,weight,g,0.545821799,3507.917724,0.132958705
fenton_2013,39.85714286,weeks,m,weight,g,0.537128284,3537.817073,0.132340151
fenton_2013,40,weeks,m,weight,g,0.528601402,3567.904128,0.131756907
fenton_2013,40.14285714,weeks,m,weight,g,0.520236336,3598.200568,0.131209414
fenton_2013,40.28571429,weeks,m,weight,g,0.512028268,3628.728073,0.130698115
fenton_2013,40.42857143,weeks,m,weight,g,0.503972381,3659.508322,0.130223454
fenton_2013,40.57142857,weeks,m,weight,g,0.496063923,3690.56229,0.129785829
fenton_2013,40.71428571,weeks,m,weight,g,0.488299647,3721.894757,0.129384655
fenton_2013,40.85714286,weeks,m,weight,g,0.480677808,3753.494308,0.129018362
fenton_2013,41,weeks,m,weight,g,0.473196729,3785.348823,0.128685336
fenton_2013,41.14285714,weeks,m,weight,g,0.46585473,3817.44618,0.128383963
fenton_2013,41.28571429,weeks,m,weight,g,0.458650133,3849.774262,0.128112629
fenton_2013,41.42857143,weeks,m,weight,g,0.451581261,3882.320948,0.127869722
fenton_2013,41.57142857,weeks,m,weight,g,0.444646433,3915.074118,0.127653627
fenton_2013,41.71428571,weeks,m,weight,g,0.437843973,3948.021652,0.12746273
fenton_2013,41.85714286,weeks,m,weight,g,0.431172201,3981.151432,0.127295419
fenton_2013,42,weeks,m,weight,g,0.42462944,4014.451338,0.127150079
fenton_2013,42.14285714,weeks,m,weight,g,0.41821401,4047.909251,0.127025096
fenton_2013,42.28571429,weeks,m,weight,g,0.411924233,4081.513052,0.126918857
fenton_2013,42.42857143,weeks,m,weight,g,0.40575843,4115.250622,0.126829748
fenton_2013,42.57142857,weeks,m,weight,g,0.399714924,4149.109841,0.126756156
fenton_2013,42.71428571,weeks,m,weight,g,0.393792036,4183.078589,0.126696466
fenton_2013,42.85714286,weeks,m,weight,g,0.387988088,4217.144745,0.126649066
fenton_2013,43,weeks,m,weight,g,0.382301401,4251.296186,0.126612343
fenton_2013,43.14285714,weeks,m,weight,g,0.376730296,4285.520791,0.126584682
fenton_2013,43.28571429,weeks,m,weight,g,0.371273096,4319.806438,0.12656447
fenton_2013,43.42857143,weeks,m,weight,g,0.365928123,4354.141005,0.126550095
fenton_2013,43.57142857,weeks,m,weight,g,0.360693697,4388.51237,0.126539942
fenton_2013,43.71428571,weeks,m,weight,g,0.355568141,4422.908418,0.126532399
fenton_2013,43.85714286,weeks,m,weight,g,0.350549775,4457.317035,0.126525849
fenton_2013,44,weeks,m,weight,g,0.345636921,4491.726109,0.126518679
fenton_2013,44.14285714,weeks,m,weight,g,0.3408279,4526.123529,0.126509272
fenton_2013,44.28571429,weeks,m,weight,g,0.336121032,4560.497182,0.126496016
fenton_2013,44.42857143,weeks,m,weight,g,0.331514641,4594.834957,0.126477295
fenton_2013,44.57142857,weeks,m,weight,g,0.327007045,4629.124741,0.126451493
fenton_2013,44.71428571,weeks,m,weight,g,0.322596568,4663.354403,0.126417
fenton_2013,44.85714286,weeks,m,weight,g,0.318281533,4697.511797,0.126372206
fenton_2013,45,weeks,m,weight,g,0.314060262,4731.584772,0.1263155
fenton_2013,45.14285714,weeks,m,weight,g,0.309931079,4765.561181,0.126245275
fenton_2013,45.28571429,weeks,m,weight,g,0.305892307,4799.428875,0.12615992
fenton_2013,45.42857143,weeks,m,weight,g,0.301942268,4833.175705,0.126057827
fenton_2013,45.57142857,weeks,m,weight,g,0.29807927,4866.789759,0.125937447
fenton_2013,45.71428571,weeks,m,weight,g,0.294301239,4900.264542,0.125798671
fenton_2013,45.85714286,weeks,m,weight,g,0.290605724,4933.598979,0.125642822
fenton_2013,46,weeks,m,weight,g,0.286990255,4966.79223,0.125471287
fenton_2013,46.14285714,weeks,m,weight,g,0.283452364,4999.843455,0.125285453
fenton_2013,46.28571429,weeks,m,weight,g,0.279989583,5032.751814,0.125086706
fenton_2013,46.42857143,weeks,m,weight,g,0.276599443,5065.516467,0.124876434
fenton_2013,46.57142857,weeks,m,weight,g,0.273279475,5098.136563,0.124656025
fenton_2013,46.71428571,weeks,m,weight,g,0.270027224,5130.611009,0.124426902
fenton_2013,46.85714286,weeks,m,weight,g,0.266840247,5162.938464,0.124190528
fenton_2013,47,weeks,m,weight,g,0.263716101,5195.117581,0.123948364
fenton_2013,47.14285714,weeks,m,weight,g,0.260652344,5227.14701,0.123701873
fenton_2013,47.28571429,weeks,m,weight,g,0.257646533,5259.0254,0.123452516
fenton_2013,47.42857143,weeks,m,weight,g,0.254696225,5290.751405,0.123201756
fenton_2013,47.57142857,weeks,m,weight,g,0.251798976,5322.323713,0.122951049
fenton_2013,47.71428571,weeks,m,weight,g,0.248952294,5353.741925,0.122701717
fenton_2013,47.85714286,weeks,m,weight,g,0.246153642,5385.006554,0.122454946
fenton_2013,48,weeks,m,weight,g,0.24340048,5416.118152,0.122211917
fenton_2013,48.14285714,weeks,m,weight,g,0.240690269,5447.07727,0.12197381
fenton_2013,48.28571429,weeks,m,weight,g,0.238020468,5477.884459,0.121741806
fenton_2013,48.42857143,weeks,m,weight,g,0.235388538,5508.540271,0.121517085
fenton_2013,48.57142857,weeks,m,weight,g,0.232791947,5539.04511,0.121300851
fenton_2013,48.71428571,weeks,m,weight,g,0.230228336,5569.395981,0.121094808
fenton_2013,48.85714286,weeks,m,weight,g,0.22769552,5599.586488,0.120901168
fenton_2013,49,weeks,m,weight,g,0.225191323,5629.61009,0.120722161
fenton_2013,49.14285714,weeks,m,weight,g,0.222713565,5659.460243,0.12056002
fenton_2013,49.28571429,weeks,m,weight,g,0.220260071,5689.130406,0.120416976
fenton_2013,49.42857143,weeks,m,weight,g,0.217828663,5718.614036,0.120295261
fenton_2013,49.57142857,weeks,m,weight,g,0.215417097,5747.905895,0.120196914
fenton_2013,49.71428571,weeks,m,weight,g,0.213021595,5777.030762,0.120119525
fenton_2013,49.85714286,weeks,m,weight,g,0.210636847,5806.043431,0.120056237
fenton_2013,50,weeks,m,weight,g,0.208257477,5835,0.12
fenton_2013,22.5,weeks,f,weight,g,0.07,509,0.141
fenton_2013,22.57142857,weeks,f,weight,g,0.090956142,512.9417451,0.141753314
fenton_2013,22.71428571,weeks,f,weight,g,0.132926572,520.8651338,0.143272625
fenton_2013,22.85714286,weeks,f,weight,g,0.175071437,528.9082177,0.144829986
fenton_2013,23,weeks,f,weight,g,0.217507028,537.1507938,0.146450766
fenton_2013,23.14285714,weeks,f,weight,g,0.260349635,545.6726589,0.14816033
fenton_2013,23.28571429,weeks,f,weight,g,0.303715547,554.5536099,0.149984045
fenton_2013,23.42857143,weeks,f,weight,g,0.347721056,563.8734436,0.151947279
fenton_2013,23.57142857,weeks,f,weight,g,0.392473658,573.709334,0.154074373
fenton_2013,23.71428571,weeks,f,weight,g,0.437878597,584.0781278,0.156366067
fenton_2013,23.85714286,weeks,f,weight,g,0.483638865,594.9363443,0.158799499
fenton_2013,24,weeks,f,weight,g,0.529448659,606.23788,0.161350784
fenton_2013,24.14285714,weeks,f,weight,g,0.575002179,617.9366315,0.163996034
fenton_2013,24.28571429,weeks,f,weight,g,0.619993622,629.9864952,0.166711362
fenton_2013,24.42857143,weeks,f,weight,g,0.664117185,642.3413675,0.169472881
fenton_2013,24.57142857,weeks,f,weight,g,0.707071983,654.9558479,0.17225698
fenton_2013,24.71428571,weeks,f,weight,g,0.748670172,667.8007001,0.175046369
fenton_2013,24.85714286,weeks,f,weight,g,0.788836952,680.8628528,0.177830086
fenton_2013,25,weeks,f,weight,g,0.827502439,694.1299374,0.180597441
fenton_2013,25.14285714,weeks,f,weight,g,0.864596748,707.5895852,0.183337743
fenton_2013,25.28571429,weeks,f,weight,g,0.900049995,721.2294277,0.186040305
fenton_2013,25.42857143,weeks,f,weight,g,0.933792294,735.0370962,0.188694436
fenton_2013,25.57142857,weeks,f,weight,g,0.965755867,749.0006573,0.191289628
fenton_2013,25.71428571,weeks,f,weight,g,0.995921356,763.1181885,0.193819524
fenton_2013,25.85714286,weeks,f,weight,g,1.024317824,777.3977777,0.19628192
fenton_2013,26,weeks,f,weight,g,1.05097644,791.8479483,0.198674792
fenton_2013,26.14285714,weeks,f,weight,g,1.075928373,806.4772236,0.200996117
fenton_2013,26.28571429,weeks,f,weight,g,1.099204792,821.2941269,0.20324387
fenton_2013,26.42857143,weeks,f,weight,g,1.120836866,836.3071815,0.205416028
fenton_2013,26.57142857,weeks,f,weight,g,1.140855763,851.5249612,0.207510587
fenton_2013,26.71428571,weeks,f,weight,g,1.159292654,866.9572003,0.209525997
fenton_2013,26.85714286,weeks,f,weight,g,1.176178706,882.6147937,0.211461162
fenton_2013,27,weeks,f,weight,g,1.191545088,898.5086868,0.213315005
fenton_2013,27.14285714,weeks,f,weight,g,1.205422969,914.6498248,0.215086451
fenton_2013,27.28571429,weeks,f,weight,g,1.217843519,931.0491531,0.216774423
fenton_2013,27.42857143,weeks,f,weight,g,1.228837906,947.7176172,0.218377845
fenton_2013,27.57142857,weeks,f,weight,g,1.238437299,964.6661487,0.219895636
fenton_2013,27.71428571,weeks,f,weight,g,1.246672867,981.9053687,0.221326592
fenton_2013,27.85714286,weeks,f,weight,g,1.253575779,999.445587,0.222669389
fenton_2013,28,weeks,f,weight,g,1.259177204,1017.2971,0.223922696
fenton_2013,28.14285714,weeks,f,weight,g,1.26350831,1035.470204,0.225085184
fenton_2013,28.28571429,weeks,f,weight,g,1.266600267,1053.975196,0.226155522
fenton_2013,28.42857143,weeks,f,weight,g,1.268484243,1072.822373,0.22713238
fenton_2013,28.57142857,weeks,f,weight,g,1.269191407,1092.022033,0.228014429
fenton_2013,28.71428571,weeks,f,weight,g,1.268752929,1111.584561,0.228800374
fenton_2013,28.85714286,weeks,f,weight,g,1.267199976,1131.520422,0.22948895
fenton_2013,29,weeks,f,weight,g,1.264563719,1151.840087,0.230078897
fenton_2013,29.14285714,weeks,f,weight,g,1.260875326,1172.554027,0.230568951
fenton_2013,29.28571429,weeks,f,weight,g,1.256165965,1193.67271,0.23095785
fenton_2013,29.42857143,weeks,f,weight,g,1.250466807,1215.206607,0.231244333
fenton_2013,29.57142857,weeks,f,weight,g,1.243809018,1237.166187,0.231427138
fenton_2013,29.71428571,weeks,f,weight,g,1.23622377,1259.561898,0.231504992
fenton_2013,29.85714286,weeks,f,weight,g,1.227742229,1282.404164,0.231476616
fenton_2013,30,weeks,f,weight,g,1.218395566,1305.703411,0.23134073
fenton_2013,30.14285714,weeks,f,weight,g,1.208214949,1329.470063,0.231096053
fenton_2013,30.28571429,weeks,f,weight,g,1.197231548,1353.714544,0.230741305
fenton_2013,30.42857143,weeks,f,weight,g,1.18547653,1378.447279,0.230275206
fenton_2013,30.57142857,weeks,f,weight,g,1.172981065,1403.678183,0.229696603
fenton_2013,30.71428571,weeks,f,weight,g,1.159776322,1429.405418,0.22900728
fenton_2013,30.85714286,weeks,f,weight,g,1.145893469,1455.6154,0.228211956
fenton_2013,31,weeks,f,weight,g,1.131363676,1482.294034,0.227315477
fenton_2013,31.14285714,weeks,f,weight,g,1.116218112,1509.427223,0.226322692
fenton_2013,31.28571429,weeks,f,weight,g,1.100487945,1537.000871,0.225238448
fenton_2013,31.42857143,weeks,f,weight,g,1.084204344,1565.000884,0.224067591
fenton_2013,31.57142857,weeks,f,weight,g,1.067398478,1593.413164,0.222814969
fenton_2013,31.71428571,weeks,f,weight,g,1.050101517,1622.223623,0.221485428
fenton_2013,31.85714286,weeks,f,weight,g,1.032344628,1651.418176,0.220083814
fenton_2013,32,weeks,f,weight,g,1.014158981,1680.982739,0.218614973
fenton_2013,32.14285714,weeks,f,weight,g,0.995575745,1710.90323,0.21708375
fenton_2013,32.28571429,weeks,f,weight,g,0.976626089,1741.165564,0.215494993
fenton_2013,32.42857143,weeks,f,weight,g,0.957341181,1771.755659,0.213853546
fenton_2013,32.57142857,weeks,f,weight,g,0.937752191,1802.659428,0.212164255
fenton_2013,32.71428571,weeks,f,weight,g,0.917890287,1833.86276,0.210431966
fenton_2013,32.85714286,weeks,f,weight,g,0.897786638,1865.351515,0.208661526
fenton_2013,33,weeks,f,weight,g,0.877472413,1897.111553,0.206857781
fenton_2013,33.14285714,weeks,f,weight,g,0.856978782,1929.128731,0.205025576
fenton_2013,33.28571429,weeks,f,weight,g,0.836336912,1961.388911,0.203169759
fenton_2013,33.42857143,weeks,f,weight,g,0.815577973,1993.87795,0.201295175
fenton_2013,33.57142857,weeks,f,weight,g,0.794733134,2026.581712,0.19940667
fenton_2013,33.71428571,weeks,f,weight,g,0.773833563,2059.486165,0.197509091
fenton_2013,33.85714286,weeks,f,weight,g,0.75291043,2092.57738,0.195607284
fenton_2013,34,weeks,f,weight,g,0.731994904,2125.841433,0.193706094
fenton_2013,34.14285714,weeks,f,weight,g,0.711118152,2159.2644,0.191810368
fenton_2013,34.28571429,weeks,f,weight,g,0.690311345,2192.832356,0.189924953
fenton_2013,34.42857143,weeks,f,weight,g,0.669605651,2226.531378,0.188054693
fenton_2013,34.57142857,weeks,f,weight,g,0.649032239,2260.347524,0.186204435
fenton_2013,34.71428571,weeks,f,weight,g,0.628622278,2294.266465,0.184379026
fenton_2013,34.85714286,weeks,f,weight,g,0.608406937,2328.273485,0.182583311
fenton_2013,35,weeks,f,weight,g,0.588417384,2362.35385,0.180822137
fenton_2013,35.14285714,weeks,f,weight,g,0.568684789,2396.492826,0.17910035
fenton_2013,35.28571429,weeks,f,weight,g,0.549240321,2430.67568,0.177422795
fenton_2013,35.42857143,weeks,f,weight,g,0.530115147,2464.887677,0.175794319
fenton_2013,35.57142857,weeks,f,weight,g,0.511340439,2499.113677,0.17421964
fenton_2013,35.71428571,weeks,f,weight,g,0.492947363,2533.329193,0.172700523
fenton_2013,35.85714286,weeks,f,weight,g,0.474967089,2567.500387,0.171235781
fenton_2013,36,weeks,f,weight,g,0.457430787,2601.593015,0.1698241
fenton_2013,36.14285714,weeks,f,weight,g,0.440369624,2635.572834,0.168464165
fenton_2013,36.28571429,weeks,f,weight,g,0.42381477,2669.405601,0.16715466
fenton_2013,36.42857143,weeks,f,weight,g,0.407797394,2703.057072,0.165894271
fenton_2013,36.57142857,weeks,f,weight,g,0.39234779,2736.492769,0.164681682
